timestamp,commit,os,arch,threads,variant,causal,seq_len,d_head,time_ms
1783704535,0a745e57,windows,x86_64,4,v3,true,512,64,0.7240
1783704535,0a745e57,windows,x86_64,4,naive,false,1024,64,49.4299
1783704535,0a745e57,windows,x86_64,4,v1,false,1024,64,3.2282
1783704535,0a745e57,windows,x86_64,4,v2,false,1024,64,3.2555
1783704535,0a745e57,windows,x86_64,4,v3,false,1024,64,3.6497
1783704535,0a745e57,windows,x86_64,4,v1,true,1024,64,3.5013
1783704535,0a745e57,windows,x86_64,4,v2,true,1024,64,1.8913
1783704535,0a745e57,windows,x86_64,4,v3,true,1024,64,2.0767
1783704535,0a745e57,windows,x86_64,4,naive,false,2048,64,201.1053
1783704535,0a745e57,windows,x86_64,4,v1,false,2048,64,12.7220
1783704535,0a745e57,windows,x86_64,4,v2,false,2048,64,13.2442
1783704535,0a745e57,windows,x86_64,4,v3,false,2048,64,12.3806
1783704535,0a745e57,windows,x86_64,4,v1,true,2048,64,14.2372
1783704535,0a745e57,windows,x86_64,4,v2,true,2048,64,7.1424
1783704535,0a745e57,windows,x86_64,4,v3,true,2048,64,6.9546
1783704535,0a745e57,windows,x86_64,4,naive,false,1024,128,108.0877
1783704535,0a745e57,windows,x86_64,4,v1,false,1024,128,5.1640
1783704535,0a745e57,windows,x86_64,4,v2,false,1024,128,5.5578
1783704535,0a745e57,windows,x86_64,4,v3,false,1024,128,5.0192
1783704535,0a745e57,windows,x86_64,4,v1,true,1024,128,5.6161
1783704535,0a745e57,windows,x86_64,4,v2,true,1024,128,3.2343
1783704535,0a745e57,windows,x86_64,4,v3,true,1024,128,3.1124
